restaurant_id,date,ingredient_id,ingredient_name,shelf_life_days,supplier_lead_time_days,projected_usage_qty,order_qty,waste_qty,stockout_risk
R001,2025-01-09,ING008,Bread,8,4,3.29,5.55,0.09,0.152
R001,2025-01-09,ING009,Lettuce,2,3,4.01,5.49,0.72,0.03
R001,2025-01-09,ING010,Cheese,4,5,3.37,6.72,1.13,0.076
R001,2025-01-10,ING001,Rice,12,3,3.94,6.55,0.71,0.109
R001,2025-01-10,ING002,Chicken,2,2,3.22,6.11,1.14,0.234
R001,2025-01-10,ING003,Paneer,3,4,0.45,0.88,0.0,0.13
R001,2025-01-10,ING004,Onion,5,7,1.71,3.46,0.0,0.122
R001,2025-01-10,ING005,Tomato,4,5,3.52,5.21,0.89,0.148
R001,2025-01-10,ING006,Oil,20,30,4.0,6.55,1.07,0.245
R001,2025-01-10,ING007,Flour,10,15,4.11,7.7,0.98,0.015
R001,2025-01-10,ING008,Bread,8,4,2.6,5.2,0.66,0.107
R001,2025-01-10,ING009,Lettuce,2,3,1.67,5.09,0.79,0.087
R001,2025-01-10,ING010,Cheese,4,5,2.38,5.06,0.54,0.093
R001,2025-01-11,ING001,Rice,12,3,2.55,5.64,0.84,0.359
R001,2025-01-11,ING002,Chicken,2,2,0.99,1.0,0.46,0.399
R001,2025-01-11,ING003,Paneer,3,4,3.4,4.23,0.59,0.352
R001,2025-01-11,ING004,Onion,5,7,1.83,3.41,0.02,0.243
R001,2025-01-11,ING005,Tomato,4,5,4.29,5.08,0.62,0.27
R001,2025-01-11,ING006,Oil,20,30,0.77,3.33,0.28,0.396
R001,2025-01-11,ING007,Flour,10,15,3.56,5.17,0.85,0.211
R001,2025-01-11,ING008,Bread,8,4,1.28,4.3,0.98,0.267
R001,2025-01-11,ING009,Lettuce,2,3,0.75,1.49,0.63,0.222
R001,2025-01-11,ING010,Cheese,4,5,3.17,6.8,0.91,0.217
R001,2025-01-12,ING001,Rice,12,3,2.75,3.6,0.85,0.18
R001,2025-01-12,ING002,Chicken,2,2,0.85,4.81,1.06,0.183
R001,2025-01-12,ING003,Paneer,3,4,0.43,2.75,0.43,0.308
R001,2025-01-12,ING004,Onion,5,7,1.7,4.26,0.57,0.328
R001,2025-01-12,ING005,Tomato,4,5,1.07,2.45,0.0,0.192
R001,2025-01-12,ING006,Oil,20,30,0.61,1.65,0.13,0.212
R001,2025-01-12,ING007,Flour,10,15,2.6,3.92,0.79,0.364
R001,2025-01-12,ING008,Bread,8,4,0.97,4.03,0.46,0.204
R001,2025-01-12,ING009,Lettuce,2,3,0.68,4.32,0.45,0.292
R001,2025-01-12,ING010,Cheese,4,5,3.49,5.71,1.37,0.303
R001,2025-01-13,ING001,Rice,12,3,2.67,2.72,0.35,0.226
R001,2025-01-13,ING002,Chicken,2,2,1.68,2.28,0.6,0.165
R001,2025-01-13,ING003,Paneer,3,4,1.32,3.71,0.24,0.124
R001,2025-01-13,ING004,Onion,5,7,3.33,5.24,1.21,0.056
R001,2025-01-13,ING005,Tomato,4,5,3.33,4.74,0.57,0.005
R001,2025-01-13,ING006,Oil,20,30,0.0,2.58,0.07,0.194
R001,2025-01-13,ING007,Flour,10,15,0.0,2.85,0.73,0.119
R001,2025-01-13,ING008,Bread,8,4,0.53,1.52,0.15,0.056
R001,2025-01-13,ING009,Lettuce,2,3,0.0,1.66,0.11,0.206
R001,2025-01-13,ING010,Cheese,4,5,1.41,2.21,0.51,0.004
R001,2025-01-14,ING001,Rice,12,3,2.75,3.27,0.54,0.126
R001,2025-01-14,ING002,Chicken,2,2,0.77,2.46,0.51,0.126
R001,2025-01-14,ING003,Paneer,3,4,0.58,1.61,0.22,0.215
R001,2025-01-14,ING004,Onion,5,7,0.0,1.12,0.0,0.097
R001,2025-01-14,ING005,Tomato,4,5,1.04,4.95,0.59,0.075
R001,2025-01-14,ING006,Oil,20,30,1.16,2.73,0.63,0.17
R001,2025-01-14,ING007,Flour,10,15,3.25,5.95,0.98,0.089
R001,2025-01-14,ING008,Bread,8,4,2.75,5.62,0.61,0.09
R001,2025-01-14,ING009,Lettuce,2,3,0.27,2.56,0.53,0.225
R001,2025-01-14,ING010,Cheese,4,5,0.08,0.23,0.0,0.031
R001,2025-01-15,ING001,Rice,12,3,0.9,1.31,0.59,0.271
R001,2025-01-15,ING002,Chicken,2,2,2.59,2.94,1.28,0.382
R001,2025-01-15,ING003,Paneer,3,4,0.57,1.83,0.02,0.263
R001,2025-01-15,ING004,Onion,5,7,1.23,1.99,0.4,0.213
R001,2025-01-15,ING005,Tomato,4,5,2.4,2.67,0.58,0.313
R001,2025-01-15,ING006,Oil,20,30,4.86,7.48,0.56,0.387
R001,2025-01-15,ING007,Flour,10,15,0.0,3.51,0.49,0.23
R001,2025-01-15,ING008,Bread,8,4,4.7,6.85,1.24,0.165
R001,2025-01-15,ING009,Lettuce,2,3,0.18,1.2,0.23,0.199
R001,2025-01-15,ING010,Cheese,4,5,1.41,3.92,0.52,0.236
R001,2025-01-16,ING001,Rice,12,3,4.02,4.62,0.94,0.163
R001,2025-01-16,ING002,Chicken,2,2,4.13,7.68,1.3,0.321
R001,2025-01-16,ING003,Paneer,3,4,1.65,3.32,1.17,0.28
R001,2025-01-16,ING004,Onion,5,7,2.71,4.02,0.94,0.213
R001,2025-01-16,ING005,Tomato,4,5,0.0,0.6,0.0,0.301
R001,2025-01-16,ING006,Oil,20,30,2.33,5.11,0.5,0.209
R001,2025-01-16,ING007,Flour,10,15,2.47,2.51,0.23,0.341
R001,2025-01-16,ING008,Bread,8,4,6.23,6.41,1.28,0.168
R001,2025-01-16,ING009,Lettuce,2,3,4.3,7.32,0.48,0.153
R001,2025-01-16,ING010,Cheese,4,5,3.3,7.26,1.04,0.197
R001,2025-01-17,ING001,Rice,12,3,1.08,3.21,0.51,0.266
R001,2025-01-17,ING002,Chicken,2,2,1.41,1.89,0.0,0.208
R001,2025-01-17,ING003,Paneer,3,4,0.35,0.93,0.0,0.287
R001,2025-01-17,ING004,Onion,5,7,1.16,1.81,0.67,0.242
R001,2025-01-17,ING005,Tomato,4,5,2.34,5.99,0.77,0.378
R001,2025-01-17,ING006,Oil,20,30,3.2,6.51,0.99,0.305
R001,2025-01-17,ING007,Flour,10,15,2.64,5.4,0.73,0.39
R001,2025-01-17,ING008,Bread,8,4,1.0,4.12,0.61,0.153
R001,2025-01-17,ING009,Lettuce,2,3,2.15,4.18,0.88,0.235
R001,2025-01-17,ING010,Cheese,4,5,2.32,6.2,0.72,0.23
R001,2025-01-18,ING001,Rice,12,3,0.01,0.43,0.0,0.21
R001,2025-01-18,ING002,Chicken,2,2,2.75,4.32,1.0,0.123
R001,2025-01-18,ING003,Paneer,3,4,1.39,4.97,0.99,0.144
R001,2025-01-18,ING004,Onion,5,7,0.38,2.84,0.24,0.1
R001,2025-01-18,ING005,Tomato,4,5,0.09,2.42,0.36,0.118
R001,2025-01-18,ING006,Oil,20,30,1.72,4.71,0.5,0.2
R001,2025-01-18,ING007,Flour,10,15,5.19,5.8,0.7,0.071
R001,2025-01-18,ING008,Bread,8,4,4.91,5.86,0.63,0.064
R001,2025-01-18,ING009,Lettuce,2,3,3.02,6.81,1.0,0.219
R001,2025-01-18,ING010,Cheese,4,5,4.59,8.09,1.42,0.205
R001,2025-01-19,ING001,Rice,12,3,3.13,6.05,1.22,0.191
R001,2025-01-19,ING002,Chicken,2,2,1.35,4.84,0.41,0.16
R001,2025-01-19,ING003,Paneer,3,4,1.01,3.24,0.52,0.299
R001,2025-01-19,ING004,Onion,5,7,0.0,3.69,0.65,0.32
R001,2025-01-19,ING005,Tomato,4,5,2.91,6.73,0.52,0.335
R001,2025-01-19,ING006,Oil,20,30,2.93,3.81,0.36,0.334
R001,2025-01-19,ING007,Flour,10,15,4.23,6.03,1.14,0.357
R001,2025-01-19,ING008,Bread,8,4,2.47,5.04,0.71,0.218
R001,2025-01-19,ING009,Lettuce,2,3,5.55,5.73,0.72,0.258
R001,2025-01-19,ING010,Cheese,4,5,0.08,1.07,0.0,0.297
R001,2025-01-20,ING001,Rice,12,3,1.18,2.53,0.51,0.003
R001,2025-01-20,ING002,Chicken,2,2,0.69,4.56,0.32,0.148
R001,2025-01-20,ING003,Paneer,3,4,1.8,3.97,0.84,0.071
R001,2025-01-20,ING004,Onion,5,7,0.0,0.73,0.0,0.163
R001,2025-01-20,ING005,Tomato,4,5,1.74,5.46,0.83,0.205
R001,2025-01-20,ING006,Oil,20,30,2.5,5.34,1.37,0.219
R001,2025-01-20,ING007,Flour,10,15,0.0,1.11,0.75,0.152
R001,2025-01-20,ING008,Bread,8,4,4.43,5.39,1.08,0.137
R001,2025-01-20,ING009,Lettuce,2,3,2.02,4.46,0.48,0.205
R001,2025-01-20,ING010,Cheese,4,5,3.03,5.22,0.87,0.118
R001,2025-01-21,ING001,Rice,12,3,0.32,2.9,0.76,0.234
R001,2025-01-21,ING002,Chicken,2,2,2.37,3.39,0.26,0.164
R001,2025-01-21,ING003,Paneer,3,4,4.05,6.58,0.72,0.168
R001,2025-01-21,ING004,Onion,5,7,2.46,3.55,0.68,0.083
R001,2025-01-21,ING005,Tomato,4,5,3.49,5.31,1.1,0.048
R001,2025-01-21,ING006,Oil,20,30,0.8,1.32,0.06,0.236
R001,2025-01-21,ING007,Flour,10,15,1.5,5.1,0.56,0.011
R001,2025-01-21,ING008,Bread,8,4,3.93,6.97,1.79,0.014
R001,2025-01-21,ING009,Lettuce,2,3,1.72,3.23,0.56,0.043
R001,2025-01-21,ING010,Cheese,4,5,5.28,5.53,1.09,0.16
R001,2025-01-22,ING001,Rice,12,3,2.01,5.23,0.33,0.077
R001,2025-01-22,ING002,Chicken,2,2,2.29,2.46,0.0,0.174
R001,2025-01-22,ING003,Paneer,3,4,0.36,2.26,0.0,0.057
R001,2025-01-22,ING004,Onion,5,7,0.21,3.26,0.13,0.035
R001,2025-01-22,ING005,Tomato,4,5,3.03,5.41,0.75,0.177
R001,2025-01-22,ING006,Oil,20,30,0.81,4.09,0.96,0.133
R001,2025-01-22,ING007,Flour,10,15,3.1,3.52,0.42,0.008
R001,2025-01-22,ING008,Bread,8,4,1.92,2.3,0.18,0.16
R001,2025-01-22,ING009,Lettuce,2,3,1.35,3.03,0.15,0.108
R001,2025-01-22,ING010,Cheese,4,5,2.14,5.02,1.12,0.123
R001,2025-01-23,ING001,Rice,12,3,1.79,5.41,0.83,0.203
R001,2025-01-23,ING002,Chicken,2,2,0.97,1.97,0.29,0.025
R001,2025-01-23,ING003,Paneer,3,4,0.76,1.3,0.11,0.014
R001,2025-01-23,ING004,Onion,5,7,2.09,3.02,0.0,0.197
R001,2025-01-23,ING005,Tomato,4,5,2.51,5.91,1.12,0.086
R001,2025-01-23,ING006,Oil,20,30,1.01,2.62,0.45,0.132
R001,2025-01-23,ING007,Flour,10,15,0.0,3.51,0.65,0.205
R001,2025-01-23,ING008,Bread,8,4,0.15,2.38,0.0,0.062
R001,2025-01-23,ING009,Lettuce,2,3,3.25,5.5,0.52,0.081
R001,2025-01-23,ING010,Cheese,4,5,1.28,3.66,0.61,0.047
R001,2025-01-24,ING001,Rice,12,3,3.72,5.1,0.67,0.223
R001,2025-01-24,ING002,Chicken,2,2,3.15,5.14,0.95,0.306
R001,2025-01-24,ING003,Paneer,3,4,1.99,4.83,0.73,0.376
R001,2025-01-24,ING004,Onion,5,7,3.65,7.55,1.53,0.365
R001,2025-01-24,ING005,Tomato,4,5,3.94,7.29,1.17,0.34
R001,2025-01-24,ING006,Oil,20,30,1.96,3.19,0.19,0.231
R001,2025-01-24,ING007,Flour,10,15,2.68,5.96,0.88,0.336
R001,2025-01-24,ING008,Bread,8,4,3.94,7.0,1.23,0.25
R001,2025-01-24,ING009,Lettuce,2,3,4.3,7.96,0.84,0.248
R001,2025-01-24,ING010,Cheese,4,5,4.79,7.91,1.32,0.351
R001,2025-01-25,ING001,Rice,12,3,1.8,2.78,0.67,0.171
R001,2025-01-25,ING002,Chicken,2,2,0.55,1.16,0.09,0.168
R001,2025-01-25,ING003,Paneer,3,4,0.66,3.6,0.85,0.19
R001,2025-01-25,ING004,Onion,5,7,4.63,7.65,0.87,0.208
R001,2025-01-25,ING005,Tomato,4,5,2.55,5.75,1.22,0.119
R001,2025-01-25,ING006,Oil,20,30,1.41,3.47,0.13,0.108
R001,2025-01-25,ING007,Flour,10,15,3.6,6.8,0.62,0.062
R001,2025-01-25,ING008,Bread,8,4,4.1,7.12,0.87,0.227
R001,2025-01-25,ING009,Lettuce,2,3,0.0,2.32,0.23,0.244
R001,2025-01-25,ING010,Cheese,4,5,1.68,4.58,0.76,0.11
R001,2025-01-26,ING001,Rice,12,3,1.49,3.19,0.57,0.242
R001,2025-01-26,ING002,Chicken,2,2,2.06,4.48,0.95,0.351
R001,2025-01-26,ING003,Paneer,3,4,3.55,6.38,0.82,0.267
R001,2025-01-26,ING004,Onion,5,7,2.79,5.49,1.15,0.387
R001,2025-01-26,ING005,Tomato,4,5,0.8,3.06,0.44,0.305
R001,2025-01-26,ING006,Oil,20,30,2.72,4.21,0.35,0.178
R001,2025-01-26,ING007,Flour,10,15,4.9,8.89,1.24,0.15
R001,2025-01-26,ING008,Bread,8,4,4.83,4.91,0.59,0.329
R001,2025-01-26,ING009,Lettuce,2,3,1.6,4.45,0.22,0.394
R001,2025-01-26,ING010,Cheese,4,5,3.09,7.04,0.74,0.382
R001,2025-01-27,ING001,Rice,12,3,5.03,6.39,0.64,0.329
R001,2025-01-27,ING002,Chicken,2,2,0.0,3.41,1.24,0.285
R001,2025-01-27,ING003,Paneer,3,4,0.0,1.98,0.22,0.19
R001,2025-01-27,ING004,Onion,5,7,0.38,1.44,0.33,0.382
R001,2025-01-27,ING005,Tomato,4,5,0.89,3.15,0.67,0.213
R001,2025-01-27,ING006,Oil,20,30,2.69,3.04,0.03,0.205
R001,2025-01-27,ING007,Flour,10,15,0.23,1.49,0.45,0.349
R001,2025-01-27,ING008,Bread,8,4,3.01,5.62,0.91,0.27
R001,2025-01-27,ING009,Lettuce,2,3,2.06,4.11,1.06,0.31
R001,2025-01-27,ING010,Cheese,4,5,0.9,1.4,0.27,0.228
R001,2025-01-28,ING001,Rice,12,3,2.52,5.28,0.96,0.254
R001,2025-01-28,ING002,Chicken,2,2,3.22,5.11,0.94,0.152
R001,2025-01-28,ING003,Paneer,3,4,2.29,2.57,0.19,0.202
R001,2025-01-28,ING004,Onion,5,7,2.19,3.31,0.25,0.249
R001,2025-01-28,ING005,Tomato,4,5,1.78,2.77,0.35,0.251
R001,2025-01-28,ING006,Oil,20,30,1.68,3.52,0.16,0.327
R001,2025-01-28,ING007,Flour,10,15,0.0,1.18,0.06,0.289
R001,2025-01-28,ING008,Bread,8,4,3.58,7.52,1.15,0.375
R001,2025-01-28,ING009,Lettuce,2,3,3.46,3.97,0.35,0.271
R001,2025-01-28,ING010,Cheese,4,5,1.26,4.49,1.36,0.183
R001,2025-01-29,ING001,Rice,12,3,0.0,2.13,0.08,0.118
R001,2025-01-29,ING002,Chicken,2,2,2.73,6.72,1.42,0.003
R001,2025-01-29,ING003,Paneer,3,4,1.93,4.15,0.96,0.235
R001,2025-01-29,ING004,Onion,5,7,1.97,4.05,0.77,0.065
R001,2025-01-29,ING005,Tomato,4,5,1.74,4.22,1.0,0.197
R001,2025-01-29,ING006,Oil,20,30,4.5,6.09,1.4,0.138
R001,2025-01-29,ING007,Flour,10,15,6.83,7.06,0.85,0.138
R001,2025-01-29,ING008,Bread,8,4,2.52,5.48,0.62,0.23
R001,2025-01-29,ING009,Lettuce,2,3,3.66,7.42,0.83,0.119
R001,2025-01-29,ING010,Cheese,4,5,3.76,4.05,0.67,0.006
R001,2025-01-30,ING001,Rice,12,3,2.38,5.75,0.19,0.163
R001,2025-01-30,ING002,Chicken,2,2,2.62,4.73,0.37,0.037
R001,2025-01-30,ING003,Paneer,3,4,0.0,0.18,0.0,0.105
R001,2025-01-30,ING004,Onion,5,7,1.3,2.6,0.98,0.044
R001,2025-01-30,ING005,Tomato,4,5,2.35,3.01,0.27,0.248
R001,2025-01-30,ING006,Oil,20,30,3.29,6.92,0.98,0.162
R001,2025-01-30,ING007,Flour,10,15,2.94,4.93,0.56,0.134
R001,2025-01-30,ING008,Bread,8,4,4.5,7.81,0.51,0.115
R001,2025-01-30,ING009,Lettuce,2,3,1.64,4.8,0.32,0.216
R001,2025-01-30,ING010,Cheese,4,5,2.31,5.41,0.6,0.072
R001,2025-01-31,ING001,Rice,12,3,0.0,1.59,0.0,0.231
R001,2025-01-31,ING002,Chicken,2,2,0.0,2.61,0.24,0.08
R001,2025-01-31,ING003,Paneer,3,4,3.07,3.94,0.83,0.243
R001,2025-01-31,ING004,Onion,5,7,3.84,5.06,0.46,0.117
R001,2025-01-31,ING005,Tomato,4,5,2.35,3.5,0.47,0.137
R001,2025-01-31,ING006,Oil,20,30,0.32,2.37,0.64,0.235
R001,2025-01-31,ING007,Flour,10,15,1.2,4.8,0.2,0.156
R001,2025-01-31,ING008,Bread,8,4,2.62,3.94,0.69,0.066
R001,2025-01-31,ING009,Lettuce,2,3,1.55,3.34,0.14,0.068
R001,2025-01-31,ING010,Cheese,4,5,1.72,1.94,0.72,0.172
R001,2025-02-01,ING001,Rice,12,3,1.33,3.8,0.1,0.028
R001,2025-02-01,ING002,Chicken,2,2,1.11,3.23,0.13,0.121
R001,2025-02-01,ING003,Paneer,3,4,1.31,3.49,0.34,0.247
R001,2025-02-01,ING004,Onion,5,7,1.96,5.69,0.85,0.126
R001,2025-02-01,ING005,Tomato,4,5,1.63,3.66,0.32,0.068
R001,2025-02-01,ING006,Oil,20,30,2.53,4.8,1.02,0.177
R001,2025-02-01,ING007,Flour,10,15,2.21,3.8,0.54,0.112
R001,2025-02-01,ING008,Bread,8,4,2.99,3.29,0.21,0.02
R001,2025-02-01,ING009,Lettuce,2,3,2.34,4.96,0.54,0.249
R001,2025-02-01,ING010,Cheese,4,5,4.21,6.55,1.22,0.217
R001,2025-02-02,ING001,Rice,12,3,0.96,1.85,0.26,0.222
R001,2025-02-02,ING002,Chicken,2,2,1.72,3.71,0.3,0.045
R001,2025-02-02,ING003,Paneer,3,4,2.34,5.18,0.38,0.22
R001,2025-02-02,ING004,Onion,5,7,5.21,7.94,0.67,0.03
R001,2025-02-02,ING005,Tomato,4,5,3.34,4.89,1.08,0.081
R001,2025-02-02,ING006,Oil,20,30,2.77,5.76,1.0,0.23
R001,2025-02-02,ING007,Flour,10,15,1.6,3.16,0.6,0.069
R001,2025-02-02,ING008,Bread,8,4,2.22,4.12,0.48,0.054
R001,2025-02-02,ING009,Lettuce,2,3,5.21,8.07,1.04,0.189
R001,2025-02-02,ING010,Cheese,4,5,2.34,5.49,0.82,0.158
R001,2025-02-03,ING001,Rice,12,3,2.44,3.42,0.09,0.057
R001,2025-02-03,ING002,Chicken,2,2,3.95,4.59,1.14,0.056
R001,2025-02-03,ING003,Paneer,3,4,3.19,5.42,1.33,0.204
R001,2025-02-03,ING004,Onion,5,7,1.58,3.78,0.64,0.151
R001,2025-02-03,ING005,Tomato,4,5,3.21,3.88,0.69,0.076
R001,2025-02-03,ING006,Oil,20,30,1.76,5.45,0.77,0.156
R001,2025-02-03,ING007,Flour,10,15,4.24,5.34,0.79,0.074
R001,2025-02-03,ING008,Bread,8,4,3.85,5.67,0.83,0.246
R001,2025-02-03,ING009,Lettuce,2,3,3.84,5.8,0.89,0.087
R001,2025-02-03,ING010,Cheese,4,5,3.07,3.77,0.37,0.104
R001,2025-02-04,ING001,Rice,12,3,3.83,6.53,0.96,0.394
R001,2025-02-04,ING002,Chicken,2,2,1.58,2.96,0.46,0.286
R001,2025-02-04,ING003,Paneer,3,4,2.1,2.79,0.21,0.265
R001,2025-02-04,ING004,Onion,5,7,1.04,1.12,0.1,0.382
R001,2025-02-04,ING005,Tomato,4,5,3.96,4.25,0.42,0.211
R001,2025-02-04,ING006,Oil,20,30,5.05,8.69,1.45,0.262
R001,2025-02-04,ING007,Flour,10,15,2.0,2.15,0.25,0.181
R001,2025-02-04,ING008,Bread,8,4,5.47,7.71,0.85,0.176
R001,2025-02-04,ING009,Lettuce,2,3,4.41,6.18,0.89,0.151
R001,2025-02-04,ING010,Cheese,4,5,0.78,1.72,0.14,0.379
R001,2025-02-05,ING001,Rice,12,3,1.25,1.42,0.57,0.296
R001,2025-02-05,ING002,Chicken,2,2,3.22,3.5,0.0,0.337
R001,2025-02-05,ING003,Paneer,3,4,2.91,3.72,0.67,0.338
R001,2025-02-05,ING004,Onion,5,7,1.91,4.51,0.58,0.382
R001,2025-02-05,ING005,Tomato,4,5,0.0,1.67,0.86,0.355
R001,2025-02-05,ING006,Oil,20,30,1.96,2.27,0.44,0.375
R001,2025-02-05,ING007,Flour,10,15,2.04,5.85,0.67,0.346
R001,2025-02-05,ING008,Bread,8,4,3.55,4.82,0.76,0.399
R001,2025-02-05,ING009,Lettuce,2,3,1.97,4.36,0.75,0.32
