restaurant_id,date,hour,role,station,staff_required,staff_scheduled,shortage,overtime_hours
R001,2025-01-02,9,FOH,Grill,1,1,0,0.0
R001,2025-01-02,9,Kitchen,Pass,1,1,0,0.0
R001,2025-01-02,9,Cashier,Pass,1,1,0,0.0
R001,2025-01-02,9,Delivery,Grill,1,1,0,0.0
R001,2025-01-02,10,FOH,Prep,1,2,0,0.7782875405796736
R001,2025-01-02,10,Kitchen,Prep,2,2,0,0.0
R001,2025-01-02,10,Cashier,Pass,1,1,0,0.0
R001,2025-01-02,10,Delivery,Dining,1,1,0,0.0
R001,2025-01-02,11,FOH,Dining,3,3,0,0.0
R001,2025-01-02,11,Kitchen,Dining,3,2,1,0.0
R001,2025-01-02,11,Cashier,Prep,2,3,0,0.18413689861722904
R001,2025-01-02,11,Delivery,Prep,1,1,0,0.0
R001,2025-01-02,12,FOH,Pass,3,4,0,0.8990741872812653
R001,2025-01-02,12,Kitchen,Dining,3,4,0,0.29465199857185986
R001,2025-01-02,12,Cashier,Pass,2,3,0,0.46548550935014216
R001,2025-01-02,12,Delivery,Pass,1,2,0,1.457739639091451
R001,2025-01-02,13,FOH,Pass,3,4,0,0.21584625382687617
R001,2025-01-02,13,Kitchen,Grill,4,5,0,0.3444840449982829
R001,2025-01-02,13,Cashier,Dining,2,1,1,0.0
R001,2025-01-02,13,Delivery,Dining,2,1,1,0.0
R001,2025-01-02,14,FOH,Grill,3,4,0,1.0413936534643298
R001,2025-01-02,14,Kitchen,Grill,4,5,0,0.2996634774900864
R001,2025-01-02,14,Cashier,Dining,2,2,0,0.0
R001,2025-01-02,14,Delivery,Grill,2,1,1,0.0
R001,2025-01-02,15,FOH,Pass,2,3,0,0.1856307054755169
R001,2025-01-02,15,Kitchen,Prep,3,3,0,0.0
R001,2025-01-02,15,Cashier,Pass,1,2,0,0.4514230376714096
R001,2025-01-02,15,Delivery,Dining,1,1,0,0.0
R001,2025-01-02,16,FOH,Grill,2,2,0,0.0
R001,2025-01-02,16,Kitchen,Prep,2,3,0,0.037289237079384474
R001,2025-01-02,16,Cashier,Dining,1,2,0,0.8327970634902371
R001,2025-01-02,16,Delivery,Grill,1,1,0,0.0
R001,2025-01-02,17,FOH,Prep,1,1,0,0.0
R001,2025-01-02,17,Kitchen,Prep,1,1,0,0.0
R001,2025-01-02,17,Cashier,Grill,1,2,0,1.3995348324003167
R001,2025-01-02,17,Delivery,Prep,1,2,0,0.7010724023329373
R001,2025-01-02,18,FOH,Dining,1,2,0,0.026755175965481603
R001,2025-01-02,18,Kitchen,Grill,2,2,0,0.0
R001,2025-01-02,18,Cashier,Pass,1,1,0,0.0
R001,2025-01-02,18,Delivery,Dining,1,1,0,0.0
R001,2025-01-02,19,FOH,Dining,2,1,1,0.0
R001,2025-01-02,19,Kitchen,Grill,2,3,0,0.6188573539105204
R001,2025-01-02,19,Cashier,Grill,1,1,0,0.0
R001,2025-01-02,19,Delivery,Prep,1,2,0,0.9778965383699613
R001,2025-01-02,20,FOH,Dining,2,2,0,0.0
R001,2025-01-02,20,Kitchen,Prep,2,2,0,0.0
R001,2025-01-02,20,Cashier,Dining,1,1,0,0.0
R001,2025-01-02,20,Delivery,Dining,1,2,0,0.15791711978118744
R001,2025-01-02,21,FOH,Pass,2,3,0,0.8916504956346777
R001,2025-01-02,21,Kitchen,Dining,2,2,0,0.0
R001,2025-01-02,21,Cashier,Prep,1,1,0,0.0
R001,2025-01-02,21,Delivery,Prep,1,2,0,1.3814557087311754
R001,2025-01-02,22,FOH,Pass,1,1,0,0.0
R001,2025-01-02,22,Kitchen,Prep,1,1,0,0.0
R001,2025-01-02,22,Cashier,Grill,1,1,0,0.0
R001,2025-01-02,22,Delivery,Pass,1,2,0,0.26196220640377904
R001,2025-01-03,8,FOH,Grill,1,1,0,0.0
R001,2025-01-03,8,Kitchen,Pass,1,1,0,0.0
R001,2025-01-03,8,Cashier,Pass,1,2,0,1.3745220293072669
R001,2025-01-03,8,Delivery,Dining,1,2,0,0.7213656424501178
R001,2025-01-03,9,FOH,Prep,1,1,0,0.0
R001,2025-01-03,9,Kitchen,Prep,1,1,0,0.0
R001,2025-01-03,9,Cashier,Dining,1,1,0,0.0
R001,2025-01-03,9,Delivery,Grill,1,2,0,0.9493764439014312
R001,2025-01-03,10,FOH,Dining,2,1,1,0.0
R001,2025-01-03,10,Kitchen,Prep,2,3,0,1.0421971932277474
R001,2025-01-03,10,Cashier,Prep,1,1,0,0.0
R001,2025-01-03,10,Delivery,Dining,1,2,0,0.9215696108128797
R001,2025-01-03,11,FOH,Dining,4,4,0,0.0
R001,2025-01-03,11,Kitchen,Dining,4,5,0,1.403909734050939
R001,2025-01-03,11,Cashier,Prep,2,3,0,1.4383203688636206
R001,2025-01-03,11,Delivery,Dining,2,1,1,0.0
R001,2025-01-03,12,FOH,Dining,5,5,0,0.0
R001,2025-01-03,12,Kitchen,Grill,6,7,0,1.4190405942259954
R001,2025-01-03,12,Cashier,Dining,3,2,1,0.0
R001,2025-01-03,12,Delivery,Prep,3,2,1,0.0
R001,2025-01-03,13,FOH,Grill,5,4,1,0.0
R001,2025-01-03,13,Kitchen,Pass,6,6,0,0.0
R001,2025-01-03,13,Cashier,Prep,3,4,0,1.1458850850098818
R001,2025-01-03,13,Delivery,Prep,3,3,0,0.0
R001,2025-01-03,14,FOH,Pass,5,4,1,0.0
R001,2025-01-03,14,Kitchen,Prep,7,7,0,0.0
R001,2025-01-03,14,Cashier,Pass,4,5,0,0.1315635178661526
R001,2025-01-03,14,Delivery,Pass,3,2,1,0.0
R001,2025-01-03,15,FOH,Prep,4,5,0,1.006847119962889
R001,2025-01-03,15,Kitchen,Dining,4,5,0,0.5004566374923572
R001,2025-01-03,15,Cashier,Dining,2,3,0,1.1437982206059785
R001,2025-01-03,15,Delivery,Pass,2,3,0,0.40580241136526357
R001,2025-01-03,16,FOH,Grill,2,2,0,0.0
R001,2025-01-03,16,Kitchen,Pass,2,1,1,0.0
R001,2025-01-03,16,Cashier,Pass,1,1,0,0.0
R001,2025-01-03,16,Delivery,Pass,1,2,0,0.5749797341661147
R001,2025-01-03,17,FOH,Dining,2,1,1,0.0
R001,2025-01-03,17,Kitchen,Dining,2,2,0,0.0
R001,2025-01-03,17,Cashier,Dining,1,1,0,0.0
R001,2025-01-03,17,Delivery,Pass,1,1,0,0.0
R001,2025-01-03,18,FOH,Grill,2,3,0,0.17771786582556204
R001,2025-01-03,18,Kitchen,Dining,3,4,0,1.2758005187861738
R001,2025-01-03,18,Cashier,Prep,2,3,0,0.18288251750266887
R001,2025-01-03,18,Delivery,Prep,1,1,0,0.0
R001,2025-01-03,19,FOH,Prep,3,3,0,0.0
R001,2025-01-03,19,Kitchen,Pass,4,3,1,0.0
R001,2025-01-03,19,Cashier,Prep,2,2,0,0.0
R001,2025-01-03,19,Delivery,Pass,2,1,1,0.0
R001,2025-01-03,20,FOH,Prep,4,4,0,0.0
R001,2025-01-03,20,Kitchen,Grill,5,6,0,0.16588261649416575
R001,2025-01-03,20,Cashier,Pass,3,3,0,0.0
R001,2025-01-03,20,Delivery,Prep,2,3,0,0.42586265679605845
R001,2025-01-03,21,FOH,Dining,3,2,1,0.0
R001,2025-01-03,21,Kitchen,Pass,4,3,1,0.0
R001,2025-01-03,21,Cashier,Dining,2,1,1,0.0
R001,2025-01-03,21,Delivery,Dining,2,2,0,0.0
R001,2025-01-03,22,FOH,Dining,2,1,1,0.0
R001,2025-01-03,22,Kitchen,Dining,2,1,1,0.0
R001,2025-01-03,22,Cashier,Prep,1,2,0,1.365957340696328
R001,2025-01-03,22,Delivery,Prep,1,1,0,0.0
R001,2025-01-04,8,FOH,Pass,1,2,0,0.9738497328679634
R001,2025-01-04,8,Kitchen,Dining,1,1,0,0.0
R001,2025-01-04,8,Cashier,Prep,1,2,0,0.762529107670413
R001,2025-01-04,8,Delivery,Pass,1,2,0,0.7112530942239272
R001,2025-01-04,9,FOH,Dining,1,1,0,0.0
R001,2025-01-04,9,Kitchen,Pass,1,2,0,0.45705690564124696
R001,2025-01-04,9,Cashier,Grill,1,1,0,0.0
R001,2025-01-04,9,Delivery,Pass,1,2,0,0.9519436761273945
R001,2025-01-04,10,FOH,Grill,2,2,0,0.0
R001,2025-01-04,10,Kitchen,Pass,2,3,0,0.8824593726135124
R001,2025-01-04,10,Cashier,Pass,1,1,0,0.0
R001,2025-01-04,10,Delivery,Prep,1,2,0,0.6276000662352905
R001,2025-01-04,11,FOH,Prep,3,2,1,0.0
R001,2025-01-04,11,Kitchen,Grill,4,3,1,0.0
R001,2025-01-04,11,Cashier,Prep,2,2,0,0.0
R001,2025-01-04,11,Delivery,Dining,2,2,0,0.0
R001,2025-01-04,12,FOH,Dining,4,4,0,0.0
R001,2025-01-04,12,Kitchen,Grill,4,4,0,0.0
R001,2025-01-04,12,Cashier,Dining,2,2,0,0.0
R001,2025-01-04,12,Delivery,Dining,2,2,0,0.0
R001,2025-01-04,13,FOH,Pass,4,4,0,0.0
R001,2025-01-04,13,Kitchen,Prep,5,4,1,0.0
R001,2025-01-04,13,Cashier,Dining,3,4,0,0.7804126721108536
R001,2025-01-04,13,Delivery,Dining,2,1,1,0.0
R001,2025-01-04,14,FOH,Prep,3,4,0,0.7412124697761351
R001,2025-01-04,14,Kitchen,Dining,3,2,1,0.0
R001,2025-01-04,14,Cashier,Dining,2,1,1,0.0
R001,2025-01-04,14,Delivery,Prep,1,2,0,0.42091715420048387
R001,2025-01-04,15,FOH,Pass,3,2,1,0.0
R001,2025-01-04,15,Kitchen,Dining,3,4,0,1.1140388500876286
R001,2025-01-04,15,Cashier,Prep,2,1,1,0.0
R001,2025-01-04,15,Delivery,Dining,1,1,0,0.0
R001,2025-01-04,16,FOH,Dining,2,3,0,0.2304193485909522
R001,2025-01-04,16,Kitchen,Pass,2,1,1,0.0
R001,2025-01-04,16,Cashier,Grill,1,1,0,0.0
R001,2025-01-04,16,Delivery,Grill,1,1,0,0.0
R001,2025-01-04,17,FOH,Prep,1,2,0,0.4664422648811493
R001,2025-01-04,17,Kitchen,Grill,2,3,0,1.058109548226019
R001,2025-01-04,17,Cashier,Prep,1,2,0,0.5817625427454747
R001,2025-01-04,17,Delivery,Grill,1,2,0,0.016091467463514364
R001,2025-01-04,18,FOH,Pass,2,2,0,0.0
R001,2025-01-04,18,Kitchen,Prep,2,2,0,0.0
R001,2025-01-04,18,Cashier,Grill,1,1,0,0.0
R001,2025-01-04,18,Delivery,Pass,1,2,0,0.8339541420426726
R001,2025-01-04,19,FOH,Grill,2,3,0,1.4854824964894089
R001,2025-01-04,19,Kitchen,Dining,3,3,0,0.0
R001,2025-01-04,19,Cashier,Dining,1,1,0,0.0
R001,2025-01-04,19,Delivery,Pass,1,1,0,0.0
R001,2025-01-04,20,FOH,Dining,3,2,1,0.0
R001,2025-01-04,20,Kitchen,Dining,4,5,0,0.2713899783463022
R001,2025-01-04,20,Cashier,Prep,2,1,1,0.0
R001,2025-01-04,20,Delivery,Grill,2,3,0,0.34927842741555937
R001,2025-01-04,21,FOH,Prep,3,2,1,0.0
R001,2025-01-04,21,Kitchen,Grill,3,4,0,0.7399349637759999
R001,2025-01-04,21,Cashier,Dining,2,2,0,0.0
R001,2025-01-04,21,Delivery,Prep,1,1,0,0.0
R001,2025-01-04,22,FOH,Grill,1,1,0,0.0
R001,2025-01-04,22,Kitchen,Grill,2,2,0,0.0
R001,2025-01-04,22,Cashier,Prep,1,2,0,0.087162722582171
R001,2025-01-04,22,Delivery,Pass,1,2,0,0.809291152892518
R001,2025-01-05,8,FOH,Dining,1,1,0,0.0
R001,2025-01-05,8,Kitchen,Prep,1,1,0,0.0
R001,2025-01-05,8,Cashier,Grill,1,1,0,0.0
R001,2025-01-05,8,Delivery,Dining,1,1,0,0.0
R001,2025-01-05,9,FOH,Dining,1,2,0,0.6974601842904795
R001,2025-01-05,9,Kitchen,Prep,1,1,0,0.0
R001,2025-01-05,9,Cashier,Grill,1,2,0,1.190523225839959
R001,2025-01-05,9,Delivery,Grill,1,1,0,0.0
R001,2025-01-05,10,FOH,Prep,1,1,0,0.0
R001,2025-01-05,10,Kitchen,Grill,2,2,0,0.0
R001,2025-01-05,10,Cashier,Prep,1,2,0,0.5590535119601012
R001,2025-01-05,10,Delivery,Grill,1,2,0,0.163923436671837
R001,2025-01-05,11,FOH,Pass,3,2,1,0.0
R001,2025-01-05,11,Kitchen,Grill,3,3,0,0.0
R001,2025-01-05,11,Cashier,Dining,2,3,0,1.1091472027147649
R001,2025-01-05,11,Delivery,Dining,1,1,0,0.0
R001,2025-01-05,12,FOH,Pass,3,4,0,0.9328466600628686
R001,2025-01-05,12,Kitchen,Grill,4,3,1,0.0
R001,2025-01-05,12,Cashier,Dining,2,3,0,0.7719440131745248
R001,2025-01-05,12,Delivery,Dining,2,1,1,0.0
R001,2025-01-05,13,FOH,Grill,4,5,0,1.3434523220755452
R001,2025-01-05,13,Kitchen,Prep,4,4,0,0.0
R001,2025-01-05,13,Cashier,Grill,2,3,0,1.279171694447869
R001,2025-01-05,13,Delivery,Prep,2,2,0,0.0
R001,2025-01-05,14,FOH,Pass,3,3,0,0.0
R001,2025-01-05,14,Kitchen,Pass,4,4,0,0.0
R001,2025-01-05,14,Cashier,Dining,2,2,0,0.0
R001,2025-01-05,14,Delivery,Dining,2,3,0,0.12721738685364464
R001,2025-01-05,15,FOH,Dining,3,2,1,0.0
R001,2025-01-05,15,Kitchen,Prep,3,3,0,0.0
R001,2025-01-05,15,Cashier,Dining,2,3,0,0.44454308551674737
R001,2025-01-05,15,Delivery,Grill,1,2,0,0.20523191704443944
R001,2025-01-05,16,FOH,Prep,2,2,0,0.0
R001,2025-01-05,16,Kitchen,Pass,2,3,0,0.8928192606200576
R001,2025-01-05,16,Cashier,Prep,1,2,0,0.588553639382691
R001,2025-01-05,16,Delivery,Dining,1,1,0,0.0
R001,2025-01-05,17,FOH,Grill,1,2,0,0.5480676947987002
R001,2025-01-05,17,Kitchen,Grill,1,1,0,0.0
R001,2025-01-05,17,Cashier,Dining,1,1,0,0.0
R001,2025-01-05,17,Delivery,Grill,1,1,0,0.0
R001,2025-01-05,18,FOH,Prep,2,2,0,0.0
R001,2025-01-05,18,Kitchen,Prep,2,3,0,1.1279446823623733
R001,2025-01-05,18,Cashier,Dining,1,2,0,0.8112849554174268
R001,2025-01-05,18,Delivery,Grill,1,2,0,1.345495198159493
R001,2025-01-05,19,FOH,Pass,2,1,1,0.0
R001,2025-01-05,19,Kitchen,Prep,2,3,0,0.7943130829276086
R001,2025-01-05,19,Cashier,Prep,1,2,0,1.113476924126965
R001,2025-01-05,19,Delivery,Prep,1,1,0,0.0
R001,2025-01-05,20,FOH,Prep,3,3,0,0.0
R001,2025-01-05,20,Kitchen,Pass,3,2,1,0.0
R001,2025-01-05,20,Cashier,Dining,2,1,1,0.0
R001,2025-01-05,20,Delivery,Prep,1,1,0,0.0
R001,2025-01-05,21,FOH,Grill,3,2,1,0.0
R001,2025-01-05,21,Kitchen,Pass,3,3,0,0.0
R001,2025-01-05,21,Cashier,Prep,2,2,0,0.0
R001,2025-01-05,21,Delivery,Grill,1,1,0,0.0
R001,2025-01-05,22,FOH,Prep,1,2,0,1.1813847543440088
R001,2025-01-05,22,Kitchen,Dining,1,1,0,0.0
R001,2025-01-05,22,Cashier,Pass,1,1,0,0.0
R001,2025-01-05,22,Delivery,Dining,1,1,0,0.0
R001,2025-01-06,8,FOH,Pass,1,1,0,0.0
R001,2025-01-06,8,Kitchen,Grill,1,1,0,0.0
R001,2025-01-06,8,Cashier,Grill,1,1,0,0.0
R001,2025-01-06,8,Delivery,Prep,1,1,0,0.0
R001,2025-01-06,9,FOH,Prep,1,1,0,0.0
R001,2025-01-06,9,Kitchen,Dining,1,1,0,0.0
R001,2025-01-06,9,Cashier,Prep,1,1,0,0.0
R001,2025-01-06,9,Delivery,Pass,1,1,0,0.0
R001,2025-01-06,10,FOH,Grill,1,2,0,1.159406082202926
R001,2025-01-06,10,Kitchen,Grill,2,3,0,0.38139522563123596
R001,2025-01-06,10,Cashier,Dining,1,2,0,1.3781905213540213
R001,2025-01-06,10,Delivery,Grill,1,1,0,0.0
R001,2025-01-06,11,FOH,Grill,2,2,0,0.0
R001,2025-01-06,11,Kitchen,Pass,3,4,0,0.47759867674268947
R001,2025-01-06,11,Cashier,Grill,2,3,0,1.1988202833622366
R001,2025-01-06,11,Delivery,Dining,1,1,0,0.0
R001,2025-01-06,12,FOH,Dining,3,3,0,0.0
R001,2025-01-06,12,Kitchen,Grill,3,4,0,0.044752155149546224
R001,2025-01-06,12,Cashier,Prep,2,1,1,0.0
R001,2025-01-06,12,Delivery,Grill,1,1,0,0.0
R001,2025-01-06,13,FOH,Dining,2,1,1,0.0
R001,2025-01-06,13,Kitchen,Dining,3,2,1,0.0
R001,2025-01-06,13,Cashier,Pass,1,2,0,1.3350291856765433
R001,2025-01-06,13,Delivery,Grill,1,1,0,0.0
R001,2025-01-06,14,FOH,Grill,3,3,0,0.0
R001,2025-01-06,14,Kitchen,Pass,3,2,1,0.0
R001,2025-01-06,14,Cashier,Dining,2,1,1,0.0
R001,2025-01-06,14,Delivery,Pass,1,1,0,0.0
R001,2025-01-06,15,FOH,Prep,2,1,1,0.0
R001,2025-01-06,15,Kitchen,Grill,3,3,0,0.0
R001,2025-01-06,15,Cashier,Dining,2,1,1,0.0
R001,2025-01-06,15,Delivery,Pass,1,1,0,0.0
R001,2025-01-06,16,FOH,Dining,1,1,0,0.0
R001,2025-01-06,16,Kitchen,Prep,1,1,0,0.0
R001,2025-01-06,16,Cashier,Grill,1,1,0,0.0
R001,2025-01-06,16,Delivery,Pass,1,2,0,0.027240815871546087
R001,2025-01-06,17,FOH,Dining,1,2,0,0.3469208095302784
R001,2025-01-06,17,Kitchen,Grill,1,2,0,0.3804967598427427
R001,2025-01-06,17,Cashier,Grill,1,2,0,0.9161551998531274
R001,2025-01-06,17,Delivery,Dining,1,1,0,0.0
R001,2025-01-06,18,FOH,Grill,1,1,0,0.0
R001,2025-01-06,18,Kitchen,Grill,2,3,0,1.1376333557771312
R001,2025-01-06,18,Cashier,Pass,1,1,0,0.0
R001,2025-01-06,18,Delivery,Grill,1,1,0,0.0
R001,2025-01-06,19,FOH,Pass,2,2,0,0.0
R001,2025-01-06,19,Kitchen,Grill,2,2,0,0.0
R001,2025-01-06,19,Cashier,Prep,1,1,0,0.0
R001,2025-01-06,19,Delivery,Prep,1,2,0,0.5925108600608346
R001,2025-01-06,20,FOH,Pass,2,3,0,0.22406123455222615
R001,2025-01-06,20,Kitchen,Pass,3,3,0,0.0
R001,2025-01-06,20,Cashier,Prep,2,3,0,0.29931298934923556
R001,2025-01-06,20,Delivery,Grill,1,2,0,1.3688741162128968
R001,2025-01-06,21,FOH,Pass,2,3,0,0.7047013322622419
R001,2025-01-06,21,Kitchen,Dining,2,3,0,1.3175486007162025
R001,2025-01-06,21,Cashier,Grill,1,2,0,0.5685790425559578
R001,2025-01-06,21,Delivery,Grill,1,1,0,0.0
R001,2025-01-06,22,FOH,Prep,1,1,0,0.0
R001,2025-01-06,22,Kitchen,Pass,1,2,0,0.15692264520716281
R001,2025-01-06,22,Cashier,Grill,1,1,0,0.0
R001,2025-01-06,22,Delivery,Pass,1,2,0,1.1971461537274997
R001,2025-01-07,8,FOH,Prep,1,2,0,1.4768529123761311
R001,2025-01-07,8,Kitchen,Dining,1,2,0,1.4735500246567987
R001,2025-01-07,8,Cashier,Grill,1,1,0,0.0
R001,2025-01-07,8,Delivery,Grill,1,2,0,0.20669030389170778
R001,2025-01-07,9,FOH,Dining,1,1,0,0.0
R001,2025-01-07,9,Kitchen,Prep,1,1,0,0.0
R001,2025-01-07,9,Cashier,Grill,1,2,0,0.8135466034533074
R001,2025-01-07,9,Delivery,Prep,1,1,0,0.0
R001,2025-01-07,10,FOH,Prep,1,1,0,0.0
R001,2025-01-07,10,Kitchen,Prep,2,1,1,0.0
R001,2025-01-07,10,Cashier,Dining,1,1,0,0.0
R001,2025-01-07,10,Delivery,Dining,1,2,0,0.5568789556324157
R001,2025-01-07,11,FOH,Prep,2,1,1,0.0
R001,2025-01-07,11,Kitchen,Pass,3,4,0,0.31022029127104755
R001,2025-01-07,11,Cashier,Dining,1,1,0,0.0
R001,2025-01-07,11,Delivery,Pass,1,2,0,1.3441831236354456
R001,2025-01-07,12,FOH,Pass,2,2,0,0.0
R001,2025-01-07,12,Kitchen,Prep,3,2,1,0.0
R001,2025-01-07,12,Cashier,Pass,1,1,0,0.0
R001,2025-01-07,12,Delivery,Pass,1,1,0,0.0
R001,2025-01-07,13,FOH,Pass,4,3,1,0.0
R001,2025-01-07,13,Kitchen,Prep,4,5,0,0.5089832186048414
R001,2025-01-07,13,Cashier,Prep,2,2,0,0.0
R001,2025-01-07,13,Delivery,Dining,2,2,0,0.0
R001,2025-01-07,14,FOH,Dining,3,2,1,0.0
R001,2025-01-07,14,Kitchen,Pass,3,4,0,1.1660380699915383
R001,2025-01-07,14,Cashier,Prep,2,1,1,0.0
R001,2025-01-07,14,Delivery,Prep,1,1,0,0.0
R001,2025-01-07,15,FOH,Pass,2,3,0,0.1976322493381012
R001,2025-01-07,15,Kitchen,Dining,3,3,0,0.0
R001,2025-01-07,15,Cashier,Prep,1,1,0,0.0
R001,2025-01-07,15,Delivery,Dining,1,2,0,1.4298082873577833
R001,2025-01-07,16,FOH,Pass,1,1,0,0.0
R001,2025-01-07,16,Kitchen,Prep,2,2,0,0.0
R001,2025-01-07,16,Cashier,Pass,1,2,0,0.17842996611031697
R001,2025-01-07,16,Delivery,Grill,1,1,0,0.0
R001,2025-01-07,17,FOH,Pass,1,2,0,0.6975211979839095
R001,2025-01-07,17,Kitchen,Pass,1,1,0,0.0
R001,2025-01-07,17,Cashier,Pass,1,1,0,0.0
R001,2025-01-07,17,Delivery,Prep,1,1,0,0.0
R001,2025-01-07,18,FOH,Pass,1,2,0,0.7031389455209287
R001,2025-01-07,18,Kitchen,Pass,2,3,0,0.22931568318950396
R001,2025-01-07,18,Cashier,Grill,1,2,0,0.5120806010725915
R001,2025-01-07,18,Delivery,Prep,1,2,0,0.07516003454540066
R001,2025-01-07,19,FOH,Grill,2,1,1,0.0
R001,2025-01-07,19,Kitchen,Pass,3,4,0,1.1262578771172895
R001,2025-01-07,19,Cashier,Prep,2,2,0,0.0
R001,2025-01-07,19,Delivery,Grill,1,2,0,1.3856749741397703
R001,2025-01-07,20,FOH,Pass,2,1,1,0.0
R001,2025-01-07,20,Kitchen,Dining,2,2,0,0.0
R001,2025-01-07,20,Cashier,Grill,1,1,0,0.0
R001,2025-01-07,20,Delivery,Prep,1,1,0,0.0
R001,2025-01-07,21,FOH,Grill,2,2,0,0.0
R001,2025-01-07,21,Kitchen,Grill,2,1,1,0.0
R001,2025-01-07,21,Cashier,Grill,1,1,0,0.0
R001,2025-01-07,21,Delivery,Dining,1,2,0,1.0892701925758517
R001,2025-01-07,22,FOH,Prep,1,1,0,0.0
R001,2025-01-07,22,Kitchen,Prep,1,1,0,0.0
R001,2025-01-07,22,Cashier,Prep,1,1,0,0.0
R001,2025-01-07,22,Delivery,Pass,1,2,0,0.26585325187390885
R001,2025-01-08,8,FOH,Pass,1,2,0,0.9150907243307608
R001,2025-01-08,8,Kitchen,Pass,1,2,0,0.38266039654107104
R001,2025-01-08,8,Cashier,Grill,1,1,0,0.0
R001,2025-01-08,8,Delivery,Pass,1,1,0,0.0
R001,2025-01-08,9,FOH,Pass,1,1,0,0.0
