restaurant_id,date,predicted_covers,actual_covers,correction_reason,model_version
R003,2025-01-19,54,71,Promotion misread,v2
R003,2025-01-21,50,54,Local event,v1
R003,2025-01-22,37,37,Staffing issue,v3
R003,2025-01-24,40,41,Supplier delay,v3
R003,2025-01-25,65,72,Rain,v2
R003,2025-01-26,54,67,Staffing issue,v1
R003,2025-01-27,36,36,Normal noise,v3
R003,2025-01-28,42,40,Normal noise,v1
R003,2025-01-30,36,30,Normal noise,v1
R003,2025-01-31,35,38,Staffing issue,v3
R003,2025-02-01,63,80,Local event,v3
R003,2025-02-02,65,55,Normal noise,v3
R003,2025-02-03,32,24,Supplier delay,v1
R003,2025-02-04,35,28,Staffing issue,v2
R003,2025-02-05,50,42,Promotion misread,v2
R003,2025-02-06,53,43,Staffing issue,v1
R003,2025-02-08,57,63,Promotion misread,v2
R003,2025-02-09,36,25,Rain,v2
R003,2025-02-10,38,40,Staffing issue,v1
R003,2025-02-12,51,53,Local event,v3
R003,2025-02-13,51,58,Supplier delay,v2
R003,2025-02-15,38,32,Supplier delay,v1
R003,2025-02-16,55,50,Promotion misread,v2
R003,2025-02-17,30,32,Staffing issue,v1
R003,2025-02-18,53,49,Rain,v3
R003,2025-02-19,32,26,Promotion misread,v3
R003,2025-02-20,46,51,Local event,v3
R003,2025-02-21,55,50,Supplier delay,v2
R003,2025-02-22,64,60,Staffing issue,v2
R003,2025-02-24,38,30,Supplier delay,v3
R003,2025-02-26,38,38,Rain,v3
R003,2025-02-27,36,38,Normal noise,v1
R003,2025-02-28,38,28,Supplier delay,v1
R003,2025-03-01,47,31,Staffing issue,v2
R003,2025-03-02,39,44,Normal noise,v2
R003,2025-03-03,32,32,Supplier delay,v1
R003,2025-03-06,43,41,Supplier delay,v1
R003,2025-03-07,47,62,Normal noise,v2
R003,2025-03-08,55,58,Promotion misread,v3
R003,2025-03-09,54,46,Normal noise,v2
R003,2025-03-10,46,57,Rain,v3
R003,2025-03-11,51,49,Supplier delay,v1
R003,2025-03-12,46,47,Normal noise,v3
R003,2025-03-14,48,44,Supplier delay,v2
R003,2025-03-17,51,47,Rain,v3
R003,2025-03-18,36,35,Rain,v3
R003,2025-03-21,34,31,Supplier delay,v3
R003,2025-03-22,46,42,Supplier delay,v3
R003,2025-03-23,55,63,Staffing issue,v1
R003,2025-03-28,40,33,Normal noise,v2
R003,2025-03-29,63,59,Promotion misread,v3
R003,2025-03-30,47,32,Promotion misread,v3
R004,2025-01-01,31,33,Local event,v2
R004,2025-01-05,24,18,Promotion misread,v1
R004,2025-01-08,31,28,Staffing issue,v1
R004,2025-01-10,31,37,Rain,v3
R004,2025-01-11,42,41,Local event,v3
R004,2025-01-14,26,26,Promotion misread,v3
R004,2025-01-15,28,24,Staffing issue,v1
R004,2025-01-17,29,29,Staffing issue,v1
R004,2025-01-18,26,28,Rain,v2
R004,2025-01-21,31,30,Normal noise,v3
R004,2025-01-23,23,25,Promotion misread,v2
R004,2025-01-24,36,51,Staffing issue,v2
R004,2025-01-27,33,28,Promotion misread,v3
R004,2025-01-28,17,20,Local event,v2
R004,2025-01-29,31,38,Local event,v3
R004,2025-01-30,30,34,Staffing issue,v1
R004,2025-01-31,34,18,Normal noise,v1
R004,2025-02-01,26,18,Normal noise,v1
R004,2025-02-04,29,28,Staffing issue,v3
R004,2025-02-06,20,15,Local event,v3
R004,2025-02-07,17,16,Promotion misread,v1
R004,2025-02-08,29,27,Local event,v2
R004,2025-02-09,26,27,Rain,v2
R004,2025-02-10,17,18,Staffing issue,v3
R004,2025-02-11,33,36,Normal noise,v2
R004,2025-02-12,24,27,Promotion misread,v1
R004,2025-02-13,24,24,Staffing issue,v1
R004,2025-02-14,21,14,Staffing issue,v1
R004,2025-02-15,30,32,Rain,v3
R004,2025-02-16,37,44,Staffing issue,v3
R004,2025-02-17,23,20,Local event,v3
R004,2025-02-18,33,44,Local event,v2
R004,2025-02-20,28,21,Promotion misread,v3
R004,2025-02-22,42,39,Rain,v3
R004,2025-02-23,20,15,Supplier delay,v2
R004,2025-02-25,36,33,Staffing issue,v1
R004,2025-03-01,38,38,Rain,v2
R004,2025-03-03,21,19,Local event,v1
R004,2025-03-04,20,20,Promotion misread,v3
R004,2025-03-05,28,31,Promotion misread,v2
R004,2025-03-09,37,40,Normal noise,v2
R004,2025-03-10,20,15,Supplier delay,v2
R004,2025-03-11,26,23,Rain,v1
R004,2025-03-12,33,30,Staffing issue,v3
R004,2025-03-13,20,23,Rain,v1
R004,2025-03-14,34,28,Promotion misread,v1
R004,2025-03-16,27,27,Supplier delay,v3
R004,2025-03-18,29,29,Supplier delay,v3
R004,2025-03-19,26,28,Normal noise,v3
R004,2025-03-20,29,32,Rain,v2
R004,2025-03-21,33,32,Promotion misread,v2
R004,2025-03-23,37,29,Supplier delay,v2
R004,2025-03-25,28,18,Staffing issue,v3
R004,2025-03-26,20,21,Staffing issue,v3
R004,2025-03-28,24,27,Rain,v2
R004,2025-03-29,20,15,Staffing issue,v3
R004,2025-03-30,33,42,Local event,v2
R004,2025-03-31,25,32,Staffing issue,v1
R005,2025-01-02,18,19,Promotion misread,v1
R005,2025-01-03,28,33,Local event,v3
R005,2025-01-04,35,37,Rain,v1
R005,2025-01-05,30,27,Normal noise,v1
R005,2025-01-06,22,21,Rain,v3
R005,2025-01-07,19,18,Rain,v2
R005,2025-01-09,18,21,Local event,v1
R005,2025-01-12,28,30,Rain,v2
R005,2025-01-13,18,18,Rain,v2
R005,2025-01-15,24,27,Normal noise,v1
R005,2025-01-16,19,22,Supplier delay,v1
R005,2025-01-19,26,19,Local event,v1
R005,2025-01-20,25,26,Promotion misread,v1
R005,2025-01-21,17,17,Rain,v1
R005,2025-01-22,28,25,Supplier delay,v3
R005,2025-01-25,24,28,Local event,v1
R005,2025-01-26,29,34,Rain,v2
R005,2025-01-27,17,17,Promotion misread,v3
R005,2025-01-28,15,13,Promotion misread,v1
R005,2025-01-29,27,32,Normal noise,v1
R005,2025-01-30,26,24,Local event,v3
R005,2025-01-31,19,26,Rain,v1
R005,2025-02-01,22,21,Local event,v3
R005,2025-02-03,22,23,Normal noise,v3
R005,2025-02-04,19,17,Promotion misread,v2
R005,2025-02-05,22,23,Rain,v1
R005,2025-02-06,28,33,Local event,v3
R005,2025-02-07,25,21,Promotion misread,v3
R005,2025-02-08,21,22,Normal noise,v1
R005,2025-02-09,33,35,Supplier delay,v1
R005,2025-02-10,27,32,Supplier delay,v1
R005,2025-02-11,29,41,Local event,v3
R005,2025-02-12,25,23,Local event,v1
R005,2025-02-13,32,23,Supplier delay,v3
R005,2025-02-14,27,24,Normal noise,v2
R005,2025-02-15,27,22,Supplier delay,v1
R005,2025-02-16,26,27,Staffing issue,v1
R005,2025-02-19,25,20,Supplier delay,v2
R005,2025-02-22,25,18,Rain,v3
R005,2025-02-24,29,28,Local event,v3
R005,2025-02-25,32,27,Normal noise,v3
R005,2025-02-27,21,24,Normal noise,v3
R005,2025-03-02,29,25,Staffing issue,v3
R005,2025-03-03,20,20,Local event,v3
R005,2025-03-04,18,16,Supplier delay,v3
R005,2025-03-06,15,15,Supplier delay,v3
R005,2025-03-07,21,27,Rain,v1
R005,2025-03-11,18,21,Promotion misread,v3
R005,2025-03-12,28,25,Local event,v2
R005,2025-03-13,30,34,Promotion misread,v3
R005,2025-03-14,25,31,Staffing issue,v3
R005,2025-03-15,26,15,Local event,v1
R005,2025-03-17,25,22,Staffing issue,v1
R005,2025-03-18,24,27,Normal noise,v1
R005,2025-03-19,25,25,Staffing issue,v2
R005,2025-03-20,15,10,Promotion misread,v3
R005,2025-03-24,30,25,Rain,v3
R005,2025-03-25,27,23,Staffing issue,v3
R005,2025-03-27,17,18,Local event,v3
R005,2025-03-28,28,22,Promotion misread,v2
R005,2025-03-29,27,25,Local event,v3
R005,2025-03-31,18,15,Normal noise,v1
R006,2025-01-01,16,18,Staffing issue,v2
R006,2025-01-02,23,19,Normal noise,v1
R006,2025-01-03,25,35,Staffing issue,v3
R006,2025-01-04,24,18,Normal noise,v1
R006,2025-01-05,26,26,Promotion misread,v1
R006,2025-01-06,22,24,Supplier delay,v2
R006,2025-01-07,17,18,Rain,v2
R006,2025-01-09,26,31,Normal noise,v2
R006,2025-01-11,24,26,Promotion misread,v2
R006,2025-01-12,30,31,Local event,v3
R006,2025-01-14,20,17,Normal noise,v3
R006,2025-01-15,24,32,Staffing issue,v2
R006,2025-01-17,21,28,Normal noise,v2
R006,2025-01-18,18,16,Normal noise,v2
R006,2025-01-19,25,24,Promotion misread,v3
R006,2025-01-20,17,16,Normal noise,v1
R006,2025-01-21,17,21,Supplier delay,v3
R006,2025-01-23,24,23,Staffing issue,v1
R006,2025-01-24,23,18,Supplier delay,v3
R006,2025-01-25,24,26,Normal noise,v1
R006,2025-01-26,21,19,Local event,v3
R006,2025-01-27,17,19,Supplier delay,v3
R006,2025-01-29,27,36,Staffing issue,v3
R006,2025-01-30,16,15,Staffing issue,v3
R006,2025-01-31,17,16,Local event,v3
R006,2025-02-01,17,19,Supplier delay,v1
R006,2025-02-02,17,18,Staffing issue,v3
R006,2025-02-03,20,21,Rain,v2
R006,2025-02-05,22,23,Normal noise,v2
R006,2025-02-06,17,19,Staffing issue,v1
R006,2025-02-07,16,13,Local event,v3
R006,2025-02-08,26,28,Rain,v1
R006,2025-02-09,22,24,Staffing issue,v2
R006,2025-02-11,20,20,Local event,v1
R006,2025-02-12,23,24,Staffing issue,v2
R006,2025-02-16,19,22,Staffing issue,v1
R006,2025-02-17,16,18,Promotion misread,v1
R006,2025-02-20,19,13,Promotion misread,v2
R006,2025-02-21,23,23,Staffing issue,v3
R006,2025-02-23,21,24,Normal noise,v2
R006,2025-02-25,18,16,Staffing issue,v1
R006,2025-02-26,26,28,Local event,v1
R006,2025-02-27,23,23,Promotion misread,v1
R006,2025-02-28,27,27,Staffing issue,v1
R006,2025-03-02,19,20,Promotion misread,v1
R006,2025-03-03,25,27,Normal noise,v2
R006,2025-03-05,16,13,Rain,v1
R006,2025-03-06,14,14,Supplier delay,v2
R006,2025-03-07,14,14,Local event,v2
R006,2025-03-08,26,30,Rain,v3
R006,2025-03-09,28,29,Staffing issue,v1
R006,2025-03-10,17,18,Staffing issue,v2
R006,2025-03-11,24,21,Normal noise,v3
R006,2025-03-13,18,17,Normal noise,v3
R006,2025-03-14,26,33,Normal noise,v2
R006,2025-03-16,24,20,Staffing issue,v1
R006,2025-03-17,23,22,Normal noise,v1
R006,2025-03-18,22,25,Promotion misread,v3
R006,2025-03-20,26,25,Staffing issue,v1
R006,2025-03-21,16,13,Rain,v1
R006,2025-03-22,27,30,Promotion misread,v3
R006,2025-03-23,28,24,Supplier delay,v3
R006,2025-03-24,22,19,Supplier delay,v3
R006,2025-03-25,16,15,Staffing issue,v2
R006,2025-03-26,15,15,Staffing issue,v3
R006,2025-03-27,18,18,Staffing issue,v1
R006,2025-03-28,19,14,Promotion misread,v2
R006,2025-03-30,29,35,Supplier delay,v3
R006,2025-03-31,15,14,Normal noise,v3
R007,2025-01-01,27,36,Rain,v3
R007,2025-01-02,21,18,Promotion misread,v2
R007,2025-01-04,26,25,Normal noise,v3
R007,2025-01-07,18,17,Normal noise,v2
R007,2025-01-09,29,30,Local event,v3
R007,2025-01-11,27,31,Promotion misread,v1
R007,2025-01-14,19,19,Rain,v2
R007,2025-01-17,26,29,Supplier delay,v1
R007,2025-01-18,24,18,Promotion misread,v1
R007,2025-01-20,16,16,Supplier delay,v3
R007,2025-01-21,21,24,Supplier delay,v1
R007,2025-01-22,29,30,Supplier delay,v2
R007,2025-01-23,27,29,Rain,v2
R007,2025-01-24,29,32,Normal noise,v1
R007,2025-01-25,27,29,Local event,v2
R007,2025-01-26,25,18,Supplier delay,v2
R007,2025-01-28,29,25,Rain,v3
R007,2025-01-29,19,18,Promotion misread,v1
R007,2025-01-30,19,16,Rain,v3
R007,2025-01-31,27,27,Local event,v1
R007,2025-02-01,28,28,Promotion misread,v3
R007,2025-02-02,34,35,Staffing issue,v2
R007,2025-02-04,20,18,Promotion misread,v3
R007,2025-02-05,30,33,Normal noise,v1
R007,2025-02-06,30,28,Promotion misread,v1
R007,2025-02-07,24,20,Normal noise,v1
R007,2025-02-09,24,25,Supplier delay,v2
R007,2025-02-10,20,26,Supplier delay,v3
R007,2025-02-11,25,24,Staffing issue,v3
R007,2025-02-12,19,20,Local event,v3
R007,2025-02-13,20,22,Staffing issue,v2
R007,2025-02-14,24,20,Normal noise,v1
R007,2025-02-15,23,26,Normal noise,v1
R007,2025-02-17,29,31,Promotion misread,v1
R007,2025-02-18,23,18,Staffing issue,v3
R007,2025-02-19,21,19,Supplier delay,v1
R007,2025-02-20,21,26,Staffing issue,v1
R007,2025-02-21,21,23,Local event,v1
R007,2025-02-22,25,31,Promotion misread,v1
R007,2025-02-23,37,31,Supplier delay,v2
R007,2025-02-25,18,24,Normal noise,v2
R007,2025-02-26,28,26,Normal noise,v3
R007,2025-02-27,29,27,Staffing issue,v1
R007,2025-02-28,34,27,Normal noise,v1
R007,2025-03-01,23,19,Promotion misread,v1
R007,2025-03-02,29,26,Staffing issue,v2
R007,2025-03-03,30,23,Supplier delay,v3
R007,2025-03-05,19,20,Local event,v2
R007,2025-03-06,25,26,Supplier delay,v2
R007,2025-03-07,22,20,Local event,v3
R007,2025-03-08,33,35,Local event,v3
R007,2025-03-09,25,26,Rain,v3
R007,2025-03-11,25,20,Staffing issue,v2
R007,2025-03-12,30,30,Local event,v2
R007,2025-03-13,19,19,Rain,v1
R007,2025-03-14,28,34,Local event,v1
R007,2025-03-15,35,31,Local event,v1
R007,2025-03-16,22,21,Staffing issue,v3
R007,2025-03-20,32,33,Staffing issue,v1
R007,2025-03-21,28,28,Promotion misread,v3
R007,2025-03-22,34,44,Local event,v1
R007,2025-03-24,31,36,Supplier delay,v3
R007,2025-03-25,31,39,Supplier delay,v3
R007,2025-03-26,24,23,Rain,v3
R007,2025-03-29,29,36,Promotion misread,v3
R007,2025-03-30,34,35,Normal noise,v2
R007,2025-03-31,20,14,Rain,v2
R008,2025-01-02,26,33,Staffing issue,v1
R008,2025-01-03,21,22,Rain,v2
R008,2025-01-05,21,14,Local event,v2
R008,2025-01-06,23,23,Supplier delay,v3
R008,2025-01-07,25,29,Local event,v3
R008,2025-01-08,16,18,Normal noise,v1
R008,2025-01-09,14,14,Staffing issue,v2
R008,2025-01-10,24,24,Promotion misread,v2
R008,2025-01-11,29,30,Supplier delay,v3
R008,2025-01-12,19,22,Normal noise,v1
R008,2025-01-13,24,28,Rain,v3
R008,2025-01-14,26,24,Staffing issue,v2
R008,2025-01-15,20,18,Normal noise,v2
R008,2025-01-16,18,16,Promotion misread,v3
R008,2025-01-17,27,29,Staffing issue,v2
R008,2025-01-18,24,25,Local event,v3
R008,2025-01-19,27,25,Supplier delay,v1
R008,2025-01-20,24,19,Promotion misread,v2
R008,2025-01-21,27,27,Rain,v3
R008,2025-01-22,16,17,Normal noise,v2
R008,2025-01-23,26,24,Local event,v1
R008,2025-01-24,23,21,Staffing issue,v3
R008,2025-01-26,23,22,Promotion misread,v2
R008,2025-01-27,26,25,Promotion misread,v1
R008,2025-01-28,24,24,Normal noise,v1
R008,2025-01-29,24,23,Promotion misread,v1
R008,2025-01-31,20,26,Supplier delay,v2
R008,2025-02-01,24,27,Promotion misread,v3
R008,2025-02-02,28,32,Supplier delay,v2
R008,2025-02-03,25,23,Staffing issue,v2
R008,2025-02-04,20,18,Normal noise,v1
R008,2025-02-05,13,13,Rain,v3
R008,2025-02-06,18,18,Staffing issue,v3
R008,2025-02-07,23,27,Rain,v2
R008,2025-02-09,24,24,Supplier delay,v2
R008,2025-02-10,18,18,Staffing issue,v2
R008,2025-02-11,20,21,Local event,v1
R008,2025-02-12,14,11,Promotion misread,v1
R008,2025-02-13,20,18,Supplier delay,v2
R008,2025-02-14,20,18,Normal noise,v1
R008,2025-02-15,29,23,Local event,v3
R008,2025-02-16,26,23,Promotion misread,v3
R008,2025-02-17,17,12,Normal noise,v2
R008,2025-02-18,22,20,Promotion misread,v2
R008,2025-02-19,14,16,Normal noise,v2
R008,2025-02-20,25,23,Local event,v1
R008,2025-02-21,16,15,Normal noise,v2
R008,2025-02-22,28,20,Normal noise,v2
R008,2025-02-23,30,30,Rain,v1
R008,2025-02-26,23,23,Staffing issue,v2
R008,2025-02-27,18,18,Local event,v1
R008,2025-02-28,17,16,Normal noise,v3
R008,2025-03-01,32,28,Promotion misread,v1
R008,2025-03-02,23,19,Staffing issue,v3
R008,2025-03-03,24,30,Promotion misread,v3
R008,2025-03-04,20,23,Rain,v3
R008,2025-03-08,28,21,Staffing issue,v1
R008,2025-03-09,32,35,Rain,v2
R008,2025-03-10,16,15,Normal noise,v2
R008,2025-03-12,20,22,Promotion misread,v3
R008,2025-03-13,20,19,Local event,v3
R008,2025-03-15,26,30,Supplier delay,v1
R008,2025-03-16,20,21,Rain,v3
R008,2025-03-19,22,17,Promotion misread,v2
R008,2025-03-20,26,25,Local event,v1
R008,2025-03-21,20,18,Normal noise,v2
R008,2025-03-23,24,21,Rain,v3
R008,2025-03-25,25,29,Staffing issue,v3
R008,2025-03-26,22,23,Supplier delay,v2
R008,2025-03-27,22,22,Supplier delay,v2
R008,2025-03-28,20,21,Promotion misread,v1
R008,2025-03-29,27,29,Promotion misread,v2
R008,2025-03-30,28,29,Local event,v3
R008,2025-03-31,22,21,Normal noise,v1
R009,2025-01-01,28,22,Staffing issue,v1
R009,2025-01-02,21,18,Local event,v2
R009,2025-01-06,21,22,Rain,v2
R009,2025-01-07,36,52,Staffing issue,v2
R009,2025-01-09,35,39,Promotion misread,v3
R009,2025-01-10,32,30,Promotion misread,v2
R009,2025-01-11,36,36,Rain,v2
R009,2025-01-12,28,32,Rain,v3
R009,2025-01-14,36,37,Local event,v1
R009,2025-01-15,21,21,Staffing issue,v2
R009,2025-01-16,20,22,Staffing issue,v3
R009,2025-01-17,31,39,Supplier delay,v1
R009,2025-01-18,45,38,Rain,v1
R009,2025-01-19,23,22,Normal noise,v3
R009,2025-01-20,35,41,Local event,v3
R009,2025-01-21,22,27,Supplier delay,v1
R009,2025-01-22,31,29,Local event,v3
R009,2025-01-23,25,25,Normal noise,v2
R009,2025-01-24,28,25,Normal noise,v3
R009,2025-01-25,29,27,Staffing issue,v3
R009,2025-01-26,23,19,Normal noise,v1
R009,2025-01-28,36,39,Supplier delay,v3
R009,2025-01-29,22,22,Supplier delay,v2
R009,2025-01-30,34,33,Rain,v3
R009,2025-01-31,24,28,Staffing issue,v1
R009,2025-02-01,33,27,Supplier delay,v1
R009,2025-02-02,31,32,Promotion misread,v3
R009,2025-02-03,25,28,Rain,v2
R009,2025-02-07,25,26,Promotion misread,v3
R009,2025-02-09,38,30,Promotion misread,v3
R009,2025-02-10,33,30,Local event,v1
R009,2025-02-12,28,26,Promotion misread,v3
R009,2025-02-14,36,31,Supplier delay,v2
R009,2025-02-15,45,52,Normal noise,v3
R009,2025-02-18,35,33,Supplier delay,v1
R009,2025-02-19,26,16,Rain,v1
R009,2025-02-20,34,22,Local event,v3
R009,2025-02-21,34,36,Rain,v3
R009,2025-02-22,29,28,Local event,v1
R009,2025-02-25,35,45,Local event,v2
R009,2025-02-26,22,21,Staffing issue,v1
R009,2025-02-27,35,33,Normal noise,v1
R009,2025-02-28,24,27,Promotion misread,v3
R009,2025-03-01,30,22,Normal noise,v1
R009,2025-03-02,27,23,Local event,v1
R009,2025-03-03,18,15,Supplier delay,v2
R009,2025-03-04,33,32,Staffing issue,v1
R009,2025-03-05,33,21,Normal noise,v1
R009,2025-03-06,36,27,Promotion misread,v2
R009,2025-03-07,36,45,Local event,v3
R009,2025-03-08,43,48,Local event,v2
R009,2025-03-09,25,20,Rain,v1
R009,2025-03-10,27,33,Staffing issue,v3
R009,2025-03-12,24,30,Local event,v3
R009,2025-03-13,36,39,Supplier delay,v1
R009,2025-03-14,25,27,Local event,v2
R009,2025-03-15,33,32,Local event,v1
R009,2025-03-16,25,27,Supplier delay,v1
R009,2025-03-19,36,20,Staffing issue,v2
R009,2025-03-21,32,33,Local event,v2
R009,2025-03-23,38,39,Local event,v2
R009,2025-03-25,18,19,Local event,v2
R009,2025-03-26,32,36,Local event,v3
R009,2025-03-28,22,22,Normal noise,v3
R009,2025-03-30,45,55,Staffing issue,v2
R009,2025-03-31,34,40,Promotion misread,v2
R010,2025-01-01,12,13,Supplier delay,v1
R010,2025-01-02,18,14,Staffing issue,v2
R010,2025-01-03,13,11,Staffing issue,v1
R010,2025-01-04,17,12,Local event,v2
R010,2025-01-05,15,19,Staffing issue,v3
R010,2025-01-06,15,17,Rain,v3
R010,2025-01-07,19,18,Rain,v3
R010,2025-01-08,17,15,Normal noise,v2
R010,2025-01-09,19,16,Staffing issue,v3
R010,2025-01-11,18,20,Supplier delay,v2
R010,2025-01-12,21,23,Rain,v1
R010,2025-01-13,13,14,Local event,v1
R010,2025-01-14,18,18,Normal noise,v1
R010,2025-01-15,18,19,Staffing issue,v2
R010,2025-01-20,14,16,Staffing issue,v1
R010,2025-01-22,18,19,Supplier delay,v3
R010,2025-01-23,13,11,Staffing issue,v3
R010,2025-01-24,13,13,Rain,v1
R010,2025-01-25,27,30,Local event,v1
R010,2025-01-26,17,16,Supplier delay,v2
R010,2025-01-27,18,21,Supplier delay,v3
R010,2025-01-28,17,19,Supplier delay,v1
R010,2025-01-30,17,17,Normal noise,v3
R010,2025-01-31,21,22,Local event,v1
R010,2025-02-01,25,20,Rain,v3
R010,2025-02-02,21,16,Supplier delay,v3
R010,2025-02-04,17,17,Supplier delay,v2
R010,2025-02-05,21,24,Rain,v1
R010,2025-02-06,21,27,Promotion misread,v3
R010,2025-02-07,11,10,Staffing issue,v2
R010,2025-02-10,21,18,Supplier delay,v1
